BAÞ;ÝÞARET;ORTA;YÜZÜK;SERÇE;X;Y
2643;2577;2678;3767;3281;3129;2873
2611;2487;1978;3767;3131;3103;2864
2635;2470;2878;3398;3136;3103;2857
2605;2379;2852;3767;3131;3101;2880
2650;2473;2679;3603;3118;3154;2868
2672;2465;2634;3767;3058;3099;2799
2669;2454;2614;3233;3007;3103;2864
2659;2463;2570;3439;2918;3090;2864
2667;2475;2572;3767;2838;3105;2859
3072;2294;2327;3931;453;3088;2863
2440;2102;1327;4095;244;3089;2854
2462;2237;1214;3439;262;3114;2870
2414;2266;1236;3439;313;3090;2857
2542;2187;1672;3028;547;3105;2861
2879;2313;2476;3398;2356;3098;2861
2679;2249;1838;3439;2750;3104;2862
2634;2310;2636;4013;2709;3089;2863
2613;2401;2372;4095;829;3070;2868
2355;2102;1709;4013;291;3124;2874
2552;2054;1747;4095;449;3105;2559
2767;2060;1900;3767;624;3122;2853
3392;2056;2587;3603;2654;3106;2902
2138;2183;2676;3767;2898;3103;2864
2379;2170;2730;3439;3050;3133;2852
2659;2157;2897;3767;3064;2832;2863
2606;2187;2773;3849;2766;3106;2864
2477;2253;1970;3069;617;3539;2862
2496;2245;1585;3767;572;3104;2864
2560;2243;1521;3439;526;3136;2871
2608;1972;2267;3849;1983;3113;2865
2651;2210;2928;3767;2721;3104;2863
2671;2187;2542;4074;2866;3088;2864
2659;2206;2568;3849;3115;3123;2864
2634;2207;3277;4095;2884;3039;2865
2743;2226;1134;4054;2805;3105;2922
2541;2199;545;3767;2521;3106;2861
2709;2239;811;3931;2538;3089;2859
2720;2227;749;3931;2491;3101;2817
2760;2238;795;3767;2447;3042;2895
2821;2246;697;4013;2431;3130;3105
2392;2253;806;4095;2382;3087;2859
2781;2239;697;4095;2424;3100;2867
2770;2245;828;4013;2397;3106;2877
2850;2255;849;4095;2397;3104;2876
2440;2254;908;4095;2587;3101;2870
2831;2237;928;4095;2506;3102;2864
2765;2186;915;4095;2421;3102;2835
2783;2250;949;4095;2397;3101;2864
2778;2237;950;4095;2389;3114;2047
2741;2250;992;4095;2400;3103;2864
2789;2132;741;4095;2407;3095;2881
2834;2234;945;4095;2387;3107;2864
2836;2216;943;4095;2379;3111;2885
2831;2249;995;4095;2363;3100;2879
2828;2245;937;4095;2460;3138;2862
3086;2233;968;4095;2376;3086;2942
2762;2132;1090;4013;2183;3123;2783
2530;2298;2588;3931;2621;3100;2864
2642;2428;2809;4095;2711;3120;2861
2639;2401;2780;3439;2750;3109;2854
2594;2384;2766;3931;2631;3099;2867
2634;2430;2779;3849;2757;3102;2865
2592;2365;2742;3931;2783;3102;2736
3469;2309;2724;3439;2796;3111;2864
2635;2408;1745;1586;2797;3114;2867
2746;2623;3205;992;2752;3114;2864
2942;2714;2354;869;2656;3105;2800
2921;2746;2463;890;2669;3088;2849
2953;2619;2280;981;2709;3069;2851
3011;2637;2152;1003;2688;3147;2854
3024;2574;2178;1012;2675;3120;2869
2969;2581;2160;1033;2768;3106;2865
3065;2587;2139;1022;2641;3149;2650
2480;2415;2470;3213;2656;3110;2869
2530;2467;2479;3439;2656;3104;2865
2565;2439;2483;3603;2657;3103;2866
2546;2466;2440;3521;2545;3107;2880
2552;2444;1763;3439;2667;3117;2863
2568;2517;2632;3767;2667;3993;2874
2565;2491;2630;3767;2714;3135;2842
2565;2550;2634;3439;2713;3118;2855
2659;2503;2612;3603;2726;3109;2869
2590;2424;2585;3644;2719;3117;2897
2008;2380;1379;4095;2735;3093;2848
2730;2360;626;3192;2701;3106;2854
2664;2357;762;3603;2638;3117;2859
2674;2338;762;3767;2493;3139;2881
2706;2320;871;3726;2503;3104;2867
2809;2293;871;3726;2548;3088;2846
2793;2296;871;3767;2240;2983;2875
2643;2247;937;3439;2506;3103;2871
2419;2124;1689;3233;2525;3023;2865
2582;2438;2554;3931;2675;3135;2870
2571;2420;2618;3767;2750;3106;2855
2659;2347;2422;1983;2718;3103;2867
2743;2132;2246;1222;2706;3107;2851
2817;2137;2139;999;2680;3122;2873
2862;2121;2111;1040;2709;3103;2866
2167;2302;2287;3018;2735;3104;2861
2428;2558;3109;3439;2815;3107;2864
2472;2662;2648;4095;2805;3100;2865
2396;2459;1713;2556;2866;3109;2892
2712;2155;3029;1687;2919;3113;2893
2845;2094;2090;1094;2760;3117;2809
2711;2203;2156;1924;2693;3107;2923
2464;2676;2546;4095;2796;3115;2875
2513;2747;2727;4095;2875;3760;2863
2525;2617;2636;4095;2859;3101;2860
2552;2164;2510;2024;2885;3101;2867
2762;2019;1591;1037;2708;3103;2863
2751;2064;2116;1113;2682;3109;2864
2839;2117;2137;1364;2683;3107;2865
2552;2827;3033;4095;3030;3157;2960
2558;2682;2759;4095;2880;3099;2871
2568;2419;2697;3274;2882;3092;2864
2733;2116;2614;1626;2849;3095;2747
2744;2082;2476;1045;2750;3111;2854
2820;2033;2301;1136;2700;3103;2865
4095;2061;2441;1163;2744;3110;2477
2635;2269;2435;3110;2724;3162;2846
2586;2624;2840;4095;2840;3103;2866
2566;2604;2809;4095;2871;3098;2864
2592;2432;2764;2074;2858;3117;2959
2842;2178;2523;1012;2781;3105;2868
2924;2180;2504;1058;2752;3672;2863
2573;2702;2894;4095;3271;3091;2861
2555;2680;2961;4095;2972;3106;2919
2571;2639;2969;4095;2973;3103;2880
2557;2678;2949;4095;3011;3090;2864
2618;2597;2931;2228;2690;3104;2849
2738;2009;2548;1015;2944;3174;2890
3024;2049;2321;941;2814;3115;2885
2889;1984;2214;1126;2818;3080;2864
2552;2741;2810;4095;2970;3206;2834
2558;2733;2926;4095;3012;3107;2871
2621;2659;2897;4095;3027;3118;2871
2613;2102;2716;1874;3024;3120;2895
2656;2108;2493;1142;2970;3108;2864
2736;2125;2384;1110;2926;3107;2752
2712;2073;2265;1584;2877;3113;2868
2680;2068;2158;1203;2683;3162;2871
2683;2544;2374;1799;2882;3115;2868
2651;2773;2810;4095;3014;3090;2877
2634;2773;2868;4095;3046;3127;2871
2658;2770;2757;4095;3059;3105;2866
2637;2703;2969;4095;3126;3080;2879
2780;2293;2838;2134;3090;3329;2880
2757;2015;2513;1094;2955;3101;2874
2772;2148;1895;1160;2822;3086;2895
2582;2199;2487;2224;3001;3157;2871
4095;2637;2759;3447;2985;3114;2882
2634;2526;2841;3771;3040;3131;2839
2629;2341;2878;3771;3037;3120;2859
2661;2616;2836;4095;3074;3107;2865
3534;2631;1917;4095;3100;3174;2865
2616;2588;762;4095;3022;3120;2871
2634;2615;937;4095;2942;3105;2850
2611;2588;1654;4095;3219;3012;2864
2587;2668;2848;4095;3175;3109;2864
2600;2668;2840;4095;3245;3109;2894
2624;2688;2950;4095;3266;3112;2881
2741;2640;697;3933;3255;3103;2867
